"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11531","Fill Check Out Date - 12/08/2024","chromium","Fri Aug 09 17:15:17 SAST 2024","passed","Fri Aug 09 17:15:28 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12151","Select No of Rooms - 3 - Three","chromium","Fri Aug 09 17:14:24 SAST 2024","passed","Fri Aug 09 17:14:36 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","11586","Fill Check In Date - 10/08/2024","chromium","Fri Aug 09 17:14:53 SAST 2024","passed","Fri Aug 09 17:15:05 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","9918","Select Location - Sydney","chromium","Fri Aug 09 17:12:54 SAST 2024","passed","Fri Aug 09 17:13:04 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12047","Select Adults Per Room - 3 - Three","chromium","Fri Aug 09 17:15:29 SAST 2024","passed","Fri Aug 09 17:15:41 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12183","Select Adults Per Room - 1 - One","chromium","Fri Aug 09 17:15:29 SAST 2024","passed","Fri Aug 09 17:15:41 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12973","Select No of Rooms - 10 - Ten","chromium","Fri Aug 09 17:14:52 SAST 2024","passed","Fri Aug 09 17:15:05 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","24507","Select Hotel - Hotel Creek","chromium","Fri Aug 09 17:13:45 SAST 2024","passed","Fri Aug 09 17:14:09 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","15354","Select No of Rooms - 7 - Seven","chromium","Fri Aug 09 17:14:36 SAST 2024","passed","Fri Aug 09 17:14:52 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","10868","Fill Check Out Date - 23/08/2024","chromium","Fri Aug 09 17:15:17 SAST 2024","passed","Fri Aug 09 17:15:28 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","23571","Select Location - Adelaide","chromium","Fri Aug 09 17:13:05 SAST 2024","passed","Fri Aug 09 17:13:29 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","21763","Login with valid credentials","chromium","Fri Aug 09 17:12:54 SAST 2024","passed","Fri Aug 09 17:13:16 SAST 2024","Login Tests Suite","HotelTests\LoginPage.spec.ts","",""
"","10831","Select No of Rooms - 1 - One","chromium","Fri Aug 09 17:14:24 SAST 2024","passed","Fri Aug 09 17:14:34 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","14027","Select Children Per Room - 4 - Four","chromium","Fri Aug 09 17:15:53 SAST 2024","passed","Fri Aug 09 17:16:07 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","18181","Select Hotel - Hotel Hervey","chromium","Fri Aug 09 17:13:52 SAST 2024","passed","Fri Aug 09 17:14:10 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","15008","Select No of Rooms - 8 - Eight","chromium","Fri Aug 09 17:14:37 SAST 2024","passed","Fri Aug 09 17:14:52 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","14944","Search Hotel","chromium","Fri Aug 09 17:15:53 SAST 2024","passed","Fri Aug 09 17:16:08 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","12657","Select No of Rooms - 2 - Two","chromium","Fri Aug 09 17:14:24 SAST 2024","passed","Fri Aug 09 17:14:36 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
"","15394","Select Hotel - Hotel Sunshine","chromium","Fri Aug 09 17:13:52 SAST 2024","passed","Fri Aug 09 17:14:07 SAST 2024","Search Hotel Tests Suite","HotelTests\SearchHotelPage.spec.ts","",""
